% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 100.0000 mHz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-04 T 17:32:22 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
9.99991201e-02, -3.3917e+01, 1.7966e+02, -1.3278e+01, -1.5032e+02, -2.0639e+01, -3.0023e+01
1.02277693e-01, -3.4054e+01, 1.7996e+02, -1.3191e+01, -1.4974e+02, -2.0862e+01, -3.0303e+01
1.04608185e-01, -3.4099e+01, 1.7955e+02, -1.3157e+01, -1.4925e+02, -2.0942e+01, -3.1193e+01
1.06991779e-01, -3.4071e+01, 1.7968e+02, -1.3073e+01, -1.4888e+02, -2.0999e+01, -3.1447e+01
1.09429686e-01, -3.3929e+01, -1.7953e+02, -1.2981e+01, -1.4840e+02, -2.0948e+01, -3.1126e+01
1.11923143e-01, -3.3969e+01, 1.7987e+02, -1.2951e+01, -1.4781e+02, -2.1017e+01, -3.2318e+01
1.14473415e-01, -3.3996e+01, 1.7992e+02, -1.2887e+01, -1.4725e+02, -2.1109e+01, -3.2830e+01
1.17081798e-01, -3.4037e+01, 1.7970e+02, -1.2814e+01, -1.4662e+02, -2.1224e+01, -3.3681e+01
1.19749615e-01, -3.4002e+01, -1.7992e+02, -1.2700e+01, -1.4618e+02, -2.1302e+01, -3.3738e+01
1.22478221e-01, -3.4038e+01, 1.7985e+02, -1.2681e+01, -1.4563e+02, -2.1358e+01, -3.4519e+01
1.25269001e-01, -3.4018e+01, 1.7991e+02, -1.2582e+01, -1.4505e+02, -2.1436e+01, -3.5035e+01
1.28123371e-01, -3.3939e+01, -1.7972e+02, -1.2528e+01, -1.4460e+02, -2.1411e+01, -3.5116e+01
1.31042780e-01, -3.3943e+01, 1.7966e+02, -1.2416e+01, -1.4413e+02, -2.1527e+01, -3.6211e+01
1.34028712e-01, -3.4017e+01, -1.7996e+02, -1.2334e+01, -1.4351e+02, -2.1683e+01, -3.6449e+01
1.37082680e-01, -3.4053e+01, 1.7998e+02, -1.2277e+01, -1.4323e+02, -2.1776e+01, -3.6790e+01
1.40206236e-01, -3.3910e+01, -1.7972e+02, -1.2172e+01, -1.4260e+02, -2.1738e+01, -3.7127e+01
1.43400965e-01, -3.4060e+01, 1.7960e+02, -1.2073e+01, -1.4202e+02, -2.1987e+01, -3.8380e+01
1.46668489e-01, -3.4062e+01, -1.7971e+02, -1.1971e+01, -1.4157e+02, -2.2091e+01, -3.8136e+01
1.50010466e-01, -3.3978e+01, -1.7996e+02, -1.1892e+01, -1.4098e+02, -2.2085e+01, -3.8977e+01
1.53428593e-01, -3.4029e+01, 1.7954e+02, -1.1833e+01, -1.4026e+02, -2.2196e+01, -4.0203e+01
1.56924606e-01, -3.3945e+01, 1.7997e+02, -1.1706e+01, -1.3977e+02, -2.2239e+01, -4.0257e+01
1.60500278e-01, -3.3998e+01, -1.7912e+02, -1.1630e+01, -1.3944e+02, -2.2369e+01, -3.9674e+01
1.64157426e-01, -3.3979e+01, 1.7969e+02, -1.1502e+01, -1.3878e+02, -2.2478e+01, -4.1532e+01
1.67897905e-01, -3.3977e+01, -1.7990e+02, -1.1411e+01, -1.3824e+02, -2.2566e+01, -4.1651e+01
1.71723614e-01, -3.3957e+01, -1.7962e+02, -1.1301e+01, -1.3765e+02, -2.2655e+01, -4.1971e+01
1.75636496e-01, -3.3979e+01, -1.7966e+02, -1.1204e+01, -1.3727e+02, -2.2775e+01, -4.2386e+01
1.79638536e-01, -3.3937e+01, -1.7996e+02, -1.1089e+01, -1.3684e+02, -2.2848e+01, -4.3125e+01
1.83731766e-01, -3.3996e+01, 1.7965e+02, -1.0968e+01, -1.3631e+02, -2.3028e+01, -4.4041e+01
1.87918265e-01, -3.4012e+01, -1.7950e+02, -1.0864e+01, -1.3575e+02, -2.3147e+01, -4.3751e+01
1.92200157e-01, -3.3897e+01, -1.7988e+02, -1.0740e+01, -1.3528e+02, -2.3157e+01, -4.4603e+01
1.96579615e-01, -3.3918e+01, -1.7894e+02, -1.0613e+01, -1.3484e+02, -2.3304e+01, -4.4093e+01
2.01058864e-01, -3.3961e+01, 1.7983e+02, -1.0487e+01, -1.3454e+02, -2.3474e+01, -4.5625e+01
2.05640176e-01, -3.3934e+01, 1.7978e+02, -1.0406e+01, -1.3401e+02, -2.3528e+01, -4.6215e+01
2.10325878e-01, -3.4059e+01, -1.7999e+02, -1.0287e+01, -1.3357e+02, -2.3772e+01, -4.6422e+01
2.15118348e-01, -3.3964e+01, -1.7975e+02, -1.0148e+01, -1.3310e+02, -2.3816e+01, -4.6642e+01
2.20020019e-01, -3.3983e+01, 1.7984e+02, -1.0026e+01, -1.3273e+02, -2.3956e+01, -4.7427e+01
2.25033379e-01, -3.3929e+01, 1.7990e+02, -9.8936e+00, -1.3228e+02, -2.4035e+01, -4.7815e+01
2.30160973e-01, -3.4005e+01, -1.7997e+02, -9.7765e+00, -1.3189e+02, -2.4228e+01, -4.8074e+01
2.35405404e-01, -3.4023e+01, 1.7963e+02, -9.6280e+00, -1.3158e+02, -2.4395e+01, -4.8789e+01
2.40769334e-01, -3.3996e+01, -1.7948e+02, -9.4978e+00, -1.3087e+02, -2.4498e+01, -4.8613e+01
2.46255486e-01, -3.3988e+01, -1.7996e+02, -9.3585e+00, -1.3068e+02, -2.4630e+01, -4.9279e+01
