% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 20.00000 MHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 14:19:53 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
9.99999195e-01, -3.3967e+01, 1.7973e+02, -6.8080e+01, -1.6006e+02, 3.4113e+01, -2.0213e+01
1.03344503e+00, -3.4040e+01, 1.7993e+02, -7.1192e+01, -1.3378e+02, 3.7153e+01, -4.6286e+01
1.06800949e+00, -3.3864e+01, 1.8025e+02, -7.3472e+01, -1.2346e+02, 3.9608e+01, -5.6292e+01
1.10372999e+00, -3.3955e+01, 1.8008e+02, -6.9698e+01, -1.3341e+02, 3.5743e+01, -4.6517e+01
1.14064519e+00, -3.3797e+01, 1.7972e+02, -6.9050e+01, -1.2845e+02, 3.5253e+01, -5.1826e+01
1.17879505e+00, -3.3819e+01, 1.8029e+02, -7.4315e+01, -1.2720e+02, 4.0496e+01, -5.2513e+01
1.21822087e+00, -3.3887e+01, 1.8037e+02, -6.7299e+01, -1.4952e+02, 3.3412e+01, -3.0114e+01
1.25896531e+00, -3.3755e+01, 1.8030e+02, -8.0720e+01, -5.4513e+01, 4.6966e+01, -1.2519e+02
1.30107249e+00, -3.3939e+01, 1.7958e+02, -6.6169e+01, -1.1882e+02, 3.2230e+01, -6.1594e+01
1.34458799e+00, -3.3932e+01, 1.8039e+02, -6.9268e+01, -1.0076e+02, 3.5337e+01, -7.8855e+01
1.38955889e+00, -3.3858e+01, 1.8011e+02, -7.2930e+01, -1.5496e+02, 3.9071e+01, -2.4930e+01
1.43603389e+00, -3.3895e+01, 1.7996e+02, -7.1642e+01, -1.4532e+02, 3.7748e+01, -3.4719e+01
1.48406328e+00, -3.3938e+01, 1.7977e+02, -7.1274e+01, -7.7257e+01, 3.7335e+01, -1.0297e+02
1.53369905e+00, -3.3945e+01, 1.7967e+02, -6.6237e+01, -1.4131e+02, 3.2292e+01, -3.9024e+01
1.58499494e+00, -3.3855e+01, 1.8010e+02, -7.1037e+01, -1.2376e+02, 3.7181e+01, -5.6140e+01
1.63800646e+00, -3.3929e+01, 1.8060e+02, -7.1607e+01, -1.2549e+02, 3.7679e+01, -5.3912e+01
1.69279100e+00, -3.3888e+01, 1.7977e+02, -7.3783e+01, -1.2426e+02, 3.9895e+01, -5.5967e+01
1.74940785e+00, -3.3900e+01, 1.8050e+02, -7.8421e+01, -7.9293e+01, 4.4521e+01, -1.0020e+02
1.80791831e+00, -3.3733e+01, 1.7993e+02, -6.8528e+01, -1.5597e+02, 3.4795e+01, -2.4103e+01
1.86838569e+00, -3.3914e+01, 1.7974e+02, -6.4436e+01, -1.3803e+02, 3.0522e+01, -4.2227e+01
1.93087547e+00, -3.3958e+01, 1.7960e+02, -6.4854e+01, -1.3264e+02, 3.0896e+01, -4.7760e+01
1.99545526e+00, -3.3882e+01, 1.7971e+02, -6.8466e+01, -1.2536e+02, 3.4584e+01, -5.4922e+01
2.06219498e+00, -3.3919e+01, 1.8002e+02, -6.7315e+01, -1.3007e+02, 3.3396e+01, -4.9910e+01
2.13116687e+00, -3.3970e+01, 1.8049e+02, -6.6848e+01, -1.2223e+02, 3.2878e+01, -5.7283e+01
2.20244558e+00, -3.3896e+01, 1.7966e+02, -6.9147e+01, -7.6622e+01, 3.5251e+01, -1.0372e+02
2.27610827e+00, -3.3909e+01, 1.8003e+02, -6.9318e+01, -8.2024e+01, 3.5409e+01, -9.7942e+01
2.35223468e+00, -3.3941e+01, 1.8010e+02, -6.7581e+01, -1.1478e+02, 3.3640e+01, -6.5125e+01
2.43090720e+00, -3.4009e+01, 1.7999e+02, -6.8434e+01, -1.4122e+02, 3.4425e+01, -3.8796e+01
2.51221098e+00, -3.3710e+01, 1.7987e+02, -6.5332e+01, -1.3410e+02, 3.1622e+01, -4.6032e+01
