% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 500.0000 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-05 T 14:31:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 + Ch 2) Magnitude (dBVpp), Math (Ch 1 + Ch 2) Phase (deg)
9.99911265e-03, -3.3967e+01, -1.7968e+02, -1.4808e+01, -1.7648e+02, -1.3902e+01, -1.7680e+02
1.02592147e-02, -3.3984e+01, -1.8015e+02, -1.4825e+01, -1.7659e+02, -1.3919e+01, -1.7694e+02
1.05260827e-02, -3.3997e+01, -1.7965e+02, -1.4810e+01, -1.7635e+02, -1.3906e+01, -1.7667e+02
1.07998926e-02, -3.3994e+01, -1.8029e+02, -1.4788e+01, -1.7621e+02, -1.3887e+01, -1.7661e+02
1.10808250e-02, -3.3809e+01, -1.8027e+02, -1.4829e+01, -1.7639e+02, -1.3905e+01, -1.7678e+02
1.13690652e-02, -3.3933e+01, -1.8025e+02, -1.4794e+01, -1.7609e+02, -1.3886e+01, -1.7651e+02
1.16648032e-02, -3.3930e+01, -1.7974e+02, -1.4814e+01, -1.7597e+02, -1.3904e+01, -1.7634e+02
1.19682340e-02, -3.4000e+01, -1.8002e+02, -1.4818e+01, -1.7581e+02, -1.3915e+01, -1.7623e+02
1.22795579e-02, -3.3943e+01, -1.8072e+02, -1.4790e+01, -1.7582e+02, -1.3884e+01, -1.7631e+02
1.25989801e-02, -3.3989e+01, -1.8008e+02, -1.4826e+01, -1.7583e+02, -1.3921e+01, -1.7625e+02
1.29267113e-02, -3.3945e+01, -1.7952e+02, -1.4818e+01, -1.7558e+02, -1.3909e+01, -1.7597e+02
1.32629676e-02, -3.3985e+01, -1.8062e+02, -1.4792e+01, -1.7542e+02, -1.3891e+01, -1.7593e+02
1.36079708e-02, -3.4015e+01, -1.7981e+02, -1.4841e+01, -1.7528e+02, -1.3937e+01, -1.7573e+02
1.39619483e-02, -3.3915e+01, -1.7955e+02, -1.4780e+01, -1.7488e+02, -1.3873e+01, -1.7534e+02
1.43251337e-02, -3.3904e+01, -1.7965e+02, -1.4847e+01, -1.7510e+02, -1.3931e+01, -1.7556e+02
1.46977665e-02, -3.3988e+01, -1.7956e+02, -1.4794e+01, -1.7502e+02, -1.3892e+01, -1.7547e+02
1.50800924e-02, -3.4011e+01, -1.8032e+02, -1.4800e+01, -1.7512e+02, -1.3900e+01, -1.7563e+02
1.54723636e-02, -3.4023e+01, -1.8004e+02, -1.4790e+01, -1.7453e+02, -1.3893e+01, -1.7507e+02
1.58748387e-02, -3.3999e+01, -1.7988e+02, -1.4747e+01, -1.7462e+02, -1.3851e+01, -1.7513e+02
1.62877832e-02, -3.4054e+01, -1.8016e+02, -1.4781e+01, -1.7422e+02, -1.3889e+01, -1.7480e+02
1.67114694e-02, -3.3955e+01, -1.8008e+02, -1.4788e+01, -1.7450e+02, -1.3885e+01, -1.7506e+02
1.71461768e-02, -3.3965e+01, -1.7980e+02, -1.4765e+01, -1.7410e+02, -1.3865e+01, -1.7466e+02
1.75921920e-02, -3.3951e+01, -1.8016e+02, -1.4779e+01, -1.7375e+02, -1.3878e+01, -1.7439e+02
1.80498092e-02, -3.3944e+01, -1.7983e+02, -1.4790e+01, -1.7384e+02, -1.3886e+01, -1.7443e+02
1.85193302e-02, -3.3901e+01, -1.8011e+02, -1.4759e+01, -1.7377e+02, -1.3854e+01, -1.7440e+02
1.90010645e-02, -3.3973e+01, -1.8017e+02, -1.4801e+01, -1.7334e+02, -1.3900e+01, -1.7402e+02
1.94953300e-02, -3.3922e+01, -1.8005e+02, -1.4770e+01, -1.7326e+02, -1.3867e+01, -1.7394e+02
2.00024526e-02, -3.4007e+01, -1.8026e+02, -1.4788e+01, -1.7320e+02, -1.3892e+01, -1.7389e+02
2.05227668e-02, -3.3997e+01, -1.8020e+02, -1.4784e+01, -1.7298e+02, -1.3887e+01, -1.7369e+02
2.10566156e-02, -3.3980e+01, -1.7983e+02, -1.4731e+01, -1.7291e+02, -1.3838e+01, -1.7359e+02
2.16043511e-02, -3.3987e+01, -1.8024e+02, -1.4785e+01, -1.7253e+02, -1.3888e+01, -1.7329e+02
2.21663347e-02, -3.3982e+01, -1.8039e+02, -1.4720e+01, -1.7225e+02, -1.3830e+01, -1.7305e+02
2.27429368e-02, -3.3978e+01, -1.8065e+02, -1.4744e+01, -1.7239e+02, -1.3851e+01, -1.7320e+02
2.33345379e-02, -3.3957e+01, -1.8028e+02, -1.4738e+01, -1.7187e+02, -1.3844e+01, -1.7269e+02
2.39415279e-02, -3.3918e+01, -1.8017e+02, -1.4743e+01, -1.7175e+02, -1.3845e+01, -1.7258e+02
2.45643073e-02, -3.3957e+01, -1.8059e+02, -1.4731e+01, -1.7163e+02, -1.3839e+01, -1.7251e+02
2.52032867e-02, -3.3919e+01, -1.8011e+02, -1.4714e+01, -1.7152e+02, -1.3819e+01, -1.7237e+02
2.58588877e-02, -3.4021e+01, -1.7988e+02, -1.4741e+01, -1.7106e+02, -1.3854e+01, -1.7192e+02
2.65315424e-02, -3.4014e+01, -1.8014e+02, -1.4741e+01, -1.7075e+02, -1.3855e+01, -1.7167e+02
2.72216946e-02, -3.3986e+01, -1.7939e+02, -1.4712e+01, -1.7066e+02, -1.3824e+01, -1.7151e+02
2.79297994e-02, -3.3992e+01, -1.7959e+02, -1.4686e+01, -1.7060e+02, -1.3802e+01, -1.7148e+02
2.86563237e-02, -3.4037e+01, -1.8067e+02, -1.4634e+01, -1.7011e+02, -1.3763e+01, -1.7112e+02
2.94017468e-02, -3.4080e+01, -1.7984e+02, -1.4655e+01, -1.7007e+02, -1.3785e+01, -1.7101e+02
3.01665603e-02, -3.3998e+01, -1.8069e+02, -1.4630e+01, -1.6976e+02, -1.3757e+01, -1.7082e+02
3.09512684e-02, -3.4032e+01, -1.8055e+02, -1.4633e+01, -1.6941e+02, -1.3763e+01, -1.7049e+02
3.17563888e-02, -3.4037e+01, -1.7952e+02, -1.4655e+01, -1.6925e+02, -1.3782e+01, -1.7024e+02
3.25824524e-02, -3.4043e+01, -1.7997e+02, -1.4659e+01, -1.6904e+02, -1.3787e+01, -1.7010e+02
3.34300040e-02, -3.4061e+01, -1.7981e+02, -1.4601e+01, -1.6870e+02, -1.3737e+01, -1.6977e+02
3.42996025e-02, -3.3916e+01, -1.8005e+02, -1.4603e+01, -1.6815e+02, -1.3727e+01, -1.6931e+02
3.51918215e-02, -3.4008e+01, -1.8003e+02, -1.4588e+01, -1.6796e+02, -1.3723e+01, -1.6912e+02
