% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 1.000000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 13:27:37 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
9.99999195e-01, -3.4310e+01, 1.7998e+02, -7.7163e+01, -1.3339e+02, 4.2853e+01, -4.6635e+01
1.01360908e+00, -3.4343e+01, 1.7966e+02, -6.8649e+01, -1.7607e+02, 3.4307e+01, -4.2644e+00
1.02740420e+00, -3.4222e+01, 1.7976e+02, -7.1916e+01, -1.6179e+02, 3.7694e+01, -1.8459e+01
1.04138706e+00, -3.4263e+01, 1.7952e+02, -7.2558e+01, -8.8654e+01, 3.8295e+01, -9.1824e+01
1.05556023e+00, -3.4257e+01, 1.7929e+02, -6.9505e+01, -8.7877e+01, 3.5248e+01, -9.2835e+01
1.06992630e+00, -3.4201e+01, 1.7985e+02, -6.8487e+01, -7.1515e+01, 3.4287e+01, -1.0863e+02
1.08448789e+00, -3.4271e+01, 1.8033e+02, -7.0737e+01, -1.1620e+02, 3.6466e+01, -6.3467e+01
1.09924766e+00, -3.4266e+01, 1.7974e+02, -7.0074e+01, -1.4383e+02, 3.5808e+01, -3.6423e+01
1.11420830e+00, -3.4282e+01, 1.7996e+02, -6.7427e+01, -1.3191e+02, 3.3145e+01, -4.8127e+01
1.12937256e+00, -3.4234e+01, 1.7981e+02, -6.8682e+01, -1.2735e+02, 3.4448e+01, -5.2831e+01
1.14474321e+00, -3.4349e+01, 1.7984e+02, -6.5253e+01, -1.3941e+02, 3.0904e+01, -4.0752e+01
1.16032305e+00, -3.4268e+01, 1.8070e+02, -7.1103e+01, -1.3739e+02, 3.6835e+01, -4.1904e+01
1.17611492e+00, -3.4251e+01, 1.8046e+02, -7.2144e+01, -1.0530e+02, 3.7893e+01, -7.4247e+01
1.19212173e+00, -3.4174e+01, 1.7992e+02, -7.2402e+01, -1.0112e+02, 3.8227e+01, -7.8956e+01
1.20834638e+00, -3.4292e+01, 1.8003e+02, -6.6242e+01, -1.1974e+02, 3.1950e+01, -6.0227e+01
1.22479185e+00, -3.4175e+01, 1.8008e+02, -7.0602e+01, -1.6158e+02, 3.6426e+01, -1.8348e+01
