% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 17:29:57 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
9.99911265e-03, -3.4328e+01, 1.7974e+02, -7.4181e+01, -1.5708e+02, 3.9853e+01, -2.3181e+01
1.02731403e-02, -3.4360e+01, 1.7968e+02, -7.8660e+01, -1.0330e+02, 4.4300e+01, -7.7027e+01
1.05546777e-02, -3.4234e+01, 1.7997e+02, -7.4064e+01, 3.5200e+01, 3.9830e+01, -2.1523e+02
1.08439308e-02, -3.4282e+01, 1.7977e+02, -7.6641e+01, 2.1042e+02, 4.2359e+01, -3.9065e+02
1.11411108e-02, -3.4264e+01, 1.7999e+02, -7.9820e+01, 8.1580e+01, 4.5556e+01, -2.6159e+02
1.14464352e-02, -3.4310e+01, 1.7989e+02, -7.4099e+01, 1.5772e+02, 3.9789e+01, -3.3783e+02
1.17601270e-02, -3.4188e+01, 1.8014e+02, -8.1256e+01, 2.6071e+02, 4.7069e+01, -4.4057e+02
1.20824156e-02, -3.4360e+01, 1.7985e+02, -8.0096e+01, 2.4957e+02, 4.5736e+01, -4.2972e+02
1.24135366e-02, -3.4298e+01, 1.7987e+02, -8.4043e+01, 2.0516e+02, 4.9745e+01, -3.8529e+02
1.27537320e-02, -3.4280e+01, 1.7970e+02, -8.0553e+01, 2.0503e+02, 4.6273e+01, -3.8533e+02
1.31032506e-02, -3.4207e+01, 1.7988e+02, -8.0482e+01, 2.7611e+02, 4.6276e+01, -4.5623e+02
1.34623478e-02, -3.4176e+01, 1.7979e+02, -7.7758e+01, 1.8024e+02, 4.3582e+01, -3.6045e+02
1.38312861e-02, -3.4215e+01, 1.8045e+02, -7.1356e+01, 2.8664e+02, 3.7141e+01, -4.6619e+02
1.42103352e-02, -3.4248e+01, 1.8034e+02, -7.3198e+01, 1.8412e+02, 3.8950e+01, -3.6378e+02
1.45997722e-02, -3.4254e+01, 1.7963e+02, -7.6354e+01, 1.5389e+02, 4.2100e+01, -3.3426e+02
1.49998819e-02, -3.4122e+01, 1.7964e+02, -8.0320e+01, 2.1924e+02, 4.6198e+01, -3.9961e+02
1.54109566e-02, -3.4256e+01, 1.7991e+02, -1.0096e+02, 4.9289e+01, 6.6706e+01, -2.2938e+02
1.58332969e-02, -3.4189e+01, 1.7917e+02, -9.4493e+01, 2.1164e+02, 6.0304e+01, -3.9247e+02
1.62672116e-02, -3.4280e+01, 1.8023e+02, -8.1318e+01, 1.6769e+02, 4.7038e+01, -3.4745e+02
