% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 20.00000 MHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 14:25:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
9.99999195e-01, -3.4252e+01, -1.7980e+02, -6.8139e+01, -1.2959e+02, 3.3886e+01, -5.0211e+01
1.03344503e+00, -3.4201e+01, -1.8050e+02, -6.8618e+01, -1.4573e+02, 3.4417e+01, -3.4777e+01
1.06800949e+00, -3.4341e+01, -1.8024e+02, -6.7853e+01, -9.4337e+01, 3.3511e+01, -8.5903e+01
1.10372999e+00, -3.4233e+01, -1.8010e+02, -6.8381e+01, -1.0981e+02, 3.4148e+01, -7.0285e+01
1.14064519e+00, -3.4298e+01, -1.7986e+02, -7.1662e+01, -1.2791e+02, 3.7364e+01, -5.1942e+01
1.17879505e+00, -3.4259e+01, -1.8001e+02, -6.4353e+01, -1.1224e+02, 3.0094e+01, -6.7764e+01
1.21822087e+00, -3.4298e+01, -1.7993e+02, -6.9303e+01, -1.2309e+02, 3.5005e+01, -5.6845e+01
1.25896531e+00, -3.4147e+01, -1.8032e+02, -6.9921e+01, -1.0541e+02, 3.5774e+01, -7.4911e+01
1.30107249e+00, -3.4166e+01, -1.7993e+02, -6.3082e+01, -1.2876e+02, 2.8917e+01, -5.1179e+01
1.34458799e+00, -3.4282e+01, -1.8014e+02, -6.5913e+01, -1.2125e+02, 3.1630e+01, -5.8890e+01
1.38955889e+00, -3.4227e+01, -1.7972e+02, -6.4161e+01, -1.3868e+02, 2.9933e+01, -4.1037e+01
1.43603389e+00, -3.4179e+01, -1.8002e+02, -6.6107e+01, -1.2921e+02, 3.1928e+01, -5.0818e+01
1.48406328e+00, -3.4144e+01, -1.8003e+02, -6.6375e+01, -1.0952e+02, 3.2232e+01, -7.0513e+01
1.53369905e+00, -3.4208e+01, -1.7983e+02, -6.6176e+01, -1.2364e+02, 3.1967e+01, -5.6189e+01
1.58499494e+00, -3.4239e+01, -1.8020e+02, -6.4711e+01, -1.1959e+02, 3.0472e+01, -6.0610e+01
1.63800646e+00, -3.4329e+01, -1.8012e+02, -6.4670e+01, -1.1787e+02, 3.0341e+01, -6.2243e+01
1.69279100e+00, -3.4250e+01, -1.8018e+02, -6.4885e+01, -1.2023e+02, 3.0635e+01, -5.9948e+01
1.74940785e+00, -3.4264e+01, -1.8031e+02, -6.7787e+01, -1.0938e+02, 3.3523e+01, -7.0932e+01
1.80791831e+00, -3.4241e+01, -1.8048e+02, -6.4347e+01, -1.0875e+02, 3.0106e+01, -7.1724e+01
1.86838569e+00, -3.4205e+01, -1.7988e+02, -6.5564e+01, -1.2201e+02, 3.1359e+01, -5.7864e+01
1.93087547e+00, -3.4203e+01, -1.8011e+02, -6.6233e+01, -1.2276e+02, 3.2030e+01, -5.7349e+01
1.99545526e+00, -3.4252e+01, -1.7973e+02, -6.4371e+01, -1.2311e+02, 3.0119e+01, -5.6623e+01
2.06219498e+00, -3.4288e+01, -1.7964e+02, -6.2810e+01, -1.0747e+02, 2.8522e+01, -7.2170e+01
2.13116687e+00, -3.4182e+01, -1.8014e+02, -6.4138e+01, -1.0530e+02, 2.9955e+01, -7.4842e+01
2.20244558e+00, -3.4249e+01, -1.7927e+02, -6.1330e+01, -1.0831e+02, 2.7081e+01, -7.0968e+01
2.27610827e+00, -3.4289e+01, -1.8049e+02, -6.3755e+01, -1.0918e+02, 2.9465e+01, -7.1313e+01
2.35223468e+00, -3.4280e+01, -1.8038e+02, -6.4276e+01, -1.0859e+02, 2.9996e+01, -7.1793e+01
2.43090720e+00, -3.4265e+01, -1.7989e+02, -6.2779e+01, -1.2512e+02, 2.8514e+01, -5.4776e+01
2.51221098e+00, -3.4330e+01, -1.7981e+02, -6.5063e+01, -1.0435e+02, 3.0733e+01, -7.5463e+01
2.59623404e+00, -3.4158e+01, -1.8000e+02, -6.1907e+01, -1.1143e+02, 2.7748e+01, -6.8567e+01
2.68306733e+00, -3.4247e+01, -1.7991e+02, -6.6115e+01, -1.1918e+02, 3.1867e+01, -6.0725e+01
2.77280483e+00, -3.4290e+01, -1.7986e+02, -6.1437e+01, -1.3224e+02, 2.7147e+01, -4.7622e+01
2.86554368e+00, -3.4289e+01, -1.8026e+02, -6.2024e+01, -1.0201e+02, 2.7735e+01, -7.8247e+01
2.96138426e+00, -3.4269e+01, -1.7990e+02, -6.2361e+01, -1.0840e+02, 2.8092e+01, -7.1507e+01
3.06043031e+00, -3.4165e+01, -1.7979e+02, -6.2543e+01, -1.1802e+02, 2.8378e+01, -6.1765e+01
3.16278904e+00, -3.4221e+01, -1.7985e+02, -6.2252e+01, -1.2681e+02, 2.8031e+01, -5.3034e+01
3.26857124e+00, -3.4203e+01, -1.7974e+02, -6.1531e+01, -1.1890e+02, 2.7328e+01, -6.0841e+01
3.37789143e+00, -3.4257e+01, -1.7994e+02, -6.4111e+01, -1.2313e+02, 2.9854e+01, -5.6815e+01
3.49086792e+00, -3.4302e+01, -1.7957e+02, -6.0792e+01, -1.0737e+02, 2.6489e+01, -7.2195e+01
3.60762300e+00, -3.4314e+01, -1.7977e+02, -6.0690e+01, -1.1366e+02, 2.6377e+01, -6.6107e+01
3.72828307e+00, -3.4419e+01, -1.7973e+02, -6.2324e+01, -1.2112e+02, 2.7904e+01, -5.8618e+01
3.85297871e+00, -3.4219e+01, -1.7942e+02, -6.1083e+01, -1.1793e+02, 2.6864e+01, -6.1493e+01
3.98184490e+00, -3.4202e+01, -1.8001e+02, -5.9458e+01, -1.3058e+02, 2.5256e+01, -4.9433e+01
4.11502114e+00, -3.4257e+01, -1.8010e+02, -6.0738e+01, -1.0413e+02, 2.6481e+01, -7.5971e+01
4.25265157e+00, -3.4240e+01, -1.8010e+02, -6.1432e+01, -1.1926e+02, 2.7192e+01, -6.0842e+01
4.39488516e+00, -3.4345e+01, -1.8030e+02, -6.1959e+01, -1.1039e+02, 2.7615e+01, -6.9906e+01
4.54187589e+00, -3.4212e+01, -1.7970e+02, -5.9274e+01, -1.1129e+02, 2.5062e+01, -6.8408e+01
4.69378284e+00, -3.4245e+01, -1.8016e+02, -5.9158e+01, -1.1815e+02, 2.4912e+01, -6.2004e+01
4.85077046e+00, -3.4140e+01, -1.7933e+02, -5.8243e+01, -1.1020e+02, 2.4103e+01, -6.9122e+01
5.01300866e+00, -3.4323e+01, -1.8038e+02, -5.9707e+01, -1.0936e+02, 2.5384e+01, -7.1018e+01
5.18067305e+00, -3.4269e+01, -1.8043e+02, -5.9840e+01, -1.0321e+02, 2.5571e+01, -7.7213e+01
5.35394513e+00, -3.4220e+01, -1.8054e+02, -5.9057e+01, -1.0271e+02, 2.4837e+01, -7.7832e+01
5.53301244e+00, -3.4143e+01, -1.7970e+02, -5.8368e+01, -1.1455e+02, 2.4225e+01, -6.5151e+01
5.71806881e+00, -3.4253e+01, -1.7989e+02, -5.9778e+01, -1.0157e+02, 2.5525e+01, -7.8317e+01
5.90931455e+00, -3.4270e+01, -1.8013e+02, -5.9051e+01, -1.1031e+02, 2.4780e+01, -6.9826e+01
6.10695667e+00, -3.4173e+01, -1.7998e+02, -5.7823e+01, -1.0882e+02, 2.3650e+01, -7.1164e+01
6.31120910e+00, -3.4301e+01, -1.7972e+02, -5.6489e+01, -1.0243e+02, 2.2188e+01, -7.7287e+01
6.52229293e+00, -3.4223e+01, -1.8040e+02, -5.8193e+01, -1.0549e+02, 2.3970e+01, -7.4910e+01
6.74043664e+00, -3.4173e+01, -1.7948e+02, -5.8181e+01, -1.2443e+02, 2.4008e+01, -5.5049e+01
6.96587636e+00, -3.4253e+01, -1.8014e+02, -5.6285e+01, -1.1202e+02, 2.2032e+01, -6.8115e+01
7.19885610e+00, -3.4154e+01, -1.8072e+02, -5.6801e+01, -1.1522e+02, 2.2647e+01, -6.5503e+01
