Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
0.00999911265,10999.483789425549,-614.9666172501483,614.9666172501483
0.0102592147,10995.402745242412,-684.0658185314091,684.0658185314091
0.0105260827,10962.996169946715,-632.1223819160417,632.1223819160417
0.0107998926,10929.441290716513,-779.5974915983885,779.5974915983885
0.011080825,11220.273342339451,-760.9867740649998,760.9867740649998
0.0113690652,11012.965588738996,-801.0120712290927,801.0120712290927
0.0116648032,11047.377194105939,-727.9562735003946,727.9562735003946
0.011968234,10957.880259414806,-806.6192743882777,806.6192743882777
0.0122795579,10983.983575209724,-941.6595675943532,941.6595675943532
0.0125989801,10981.309338397261,-816.0522480685967,816.0522480685967
0.0129267113,11031.189691190117,-759.7684522686889,759.7684522686889
0.0132629676,10928.459039052874,-994.5676844336845,994.5676844336845
0.0136079708,10963.29728906593,-868.6063722734352,868.6063722734352
0.0139619483,11010.46879062018,-899.4215281006208,899.4215281006208
0.0143251337,11111.665354529498,-884.2645202933601,884.2645202933601
0.0146977665,10937.93098667122,-868.517675363203,868.517675363203
0.0150800924,10905.835153004256,-992.5087495115775,992.5087495115775
0.0154723636,10872.731728856515,-1048.8402655714294,1048.8402655714294
0.0158748387,10853.437242501534,-999.201089493879,999.201089493879
0.0162877832,10814.636057770582,-1125.2151412572462,1125.2151412572462
0.0167114694,10954.363845492993,-1070.2243418271244,1070.2243418271244
0.0171461768,10910.567364133134,-1089.019400402981,1089.019400402981
0.017592192,10931.417056091024,-1228.0868175734483,1228.0868175734483
0.0180498092,10962.820646944025,-1150.3044059200874,1150.3044059200874
0.0185193302,10970.73550544174,-1218.9334438269414,1218.9334438269414
0.0190010645,10922.121094287455,-1308.1845769678098,1308.1845769678098
0.01949533,10948.211906324083,-1303.5572783585737,1303.5572783585737
0.0200024526,10857.869726145056,-1344.7220094147476,1344.7220094147476
0.0205227668,10861.572540536195,-1375.987789512949,1375.987789512949
0.0210566156,10823.674803106562,-1313.642236804832,1313.642236804832
0.0216043511,10863.156513159563,-1470.6870692471455,1470.6870692471455
0.0221663347,10777.1099513304,-1541.4868849607956,1541.4868849607956
0.0227429368,10808.644688149729,-1569.1050669153833,1569.1050669153833
0.0233345379,10823.174575303798,-1600.1576125616953,1600.1576125616953
0.0239415279,10877.859630593126,-1610.182645364574,1610.182645364574
0.0245643073,10798.609585551852,-1702.604620120251,1702.604620120251
0.0252032867,10835.544897464762,-1636.7877310428844,1636.7877310428844
0.0258588877,10735.785527371294,-1665.8249234112068,1665.8249234112068
0.0265315424,10727.32400883132,-1773.973445600965,1773.973445600965
0.0272216946,10745.809332135179,-1650.0985968763011,1650.0985968763011
0.0279297994,10698.72256261025,-1692.5971169329962,1692.5971169329962
0.0286563237,10530.077938543538,-1963.0426644501524,1963.0426644501524
0.0294017468,10529.439554936871,-1813.0728393573863,1813.0728393573863
0.0301665603,10559.646421674475,-2039.20201691303,2039.20201691303
0.0309512684,10514.508048196125,-2070.4885684714304,2070.4885684714304
0.0317563888,10565.392112506644,-1914.342977279445,1914.342977279445
0.0325824524,10540.212738702905,-2035.4491255822813,2035.4491255822813
0.033430004,10441.999645990432,-2050.5315692988756,2050.5315692988756
0.0342996025,10590.45984539473,-2231.759931328778,2231.759931328778
0.0351918215,10454.211319973307,-2235.463968915413,2235.463968915413
0.0361072493,10599.136826560229,-2250.9826749272256,2250.9826749272256
0.0370464897,10565.71424910603,-2323.022938569785,2323.022938569785
0.0380101622,10496.201611904493,-2303.8989108029914,2303.8989108029914
0.0389989021,10340.794546274903,-2351.2689230336578,2351.2689230336578
0.0400133617,10454.010306531298,-2390.447736483902,2390.447736483902
0.04105421,10335.354487176997,-2508.024433246399,2508.024433246399
0.0421221333,10186.519242935854,-2611.6637694311357,2611.6637694311357
0.043217836,10326.506708984818,-2639.8725863916625,2639.8725863916625
0.0443420407,10112.409428517929,-2703.9377374878977,2703.9377374878977
0.0454954887,10087.854615364176,-2757.8323933972624,2757.8323933972624
0.0466789409,10158.628493637623,-2909.102634864851,2909.102634864851
0.0478931776,10175.445030907538,-2795.143220303094,2795.143220303094
0.0491389997,10001.197177890215,-2973.8852847375365,2973.8852847375365
0.0504172287,9934.450818049661,-2967.253245976933,2967.253245976933
0.0517287077,9929.031858650837,-2997.751458549631,2997.751458549631
0.0530743016,9954.687534373817,-2924.1609832507484,2924.1609832507484
0.0544548977,9820.13076627503,-3092.5071033346617,3092.5071033346617
0.0558714067,9793.790613626445,-3159.5332762309395,3159.5332762309395
0.0573247626,9815.98780432809,-3353.1094742120745,3353.1094742120745
0.0588159239,9697.225695194455,-3405.4232772930213,3405.4232772930213
0.0603458741,9544.260630765108,-3327.3992468011593,3327.3992468011593
0.0619156221,9555.004934644228,-3576.272024140637,3576.272024140637
0.0635262033,9631.360212833844,-3601.0180261780824,3601.0180261780824
0.0651786797,9333.15995303768,-3558.3889154038347,3558.3889154038347
0.0668741412,9255.817100496424,-3621.7255582491935,3621.7255582491935
0.0686137059,9363.494984183119,-3722.4016569620294,3722.4016569620294
0.0703985211,9276.780698490906,-3825.507385600893,3825.507385600893
0.0722297638,9313.08963012822,-3907.213994724399,3907.213994724399
0.0741086417,9043.0686438883,-3939.5472825045827,3939.5472825045827
0.076036394,8966.63503435715,-3891.3627336363634,3891.3627336363634
0.0780142919,8978.199646868394,-4137.106863081162,4137.106863081162
0.08004364,8848.099373221396,-4041.6399664218493,4041.6399664218493
0.0821257765,8811.99809420275,-4201.219758424879,4201.219758424879
0.0842620746,8690.612534781856,-4350.037588465542,4350.037588465542
0.0864539432,8583.49453593121,-4290.801412087225,4290.801412087225
0.0887028279,8590.967586176454,-4223.5558633609135,4223.5558633609135
0.0910102116,8330.042615357715,-4330.803674959946,4330.803674959946
0.0933776163,8214.746223163495,-4408.400875000665,4408.400875000665
0.0958066031,8275.155773457438,-4342.711691932355,4342.711691932355
0.0982987739,7994.846641124095,-4501.188504271729,4501.188504271729
0.100855772,7944.382342045977,-4472.7765367778,4472.7765367778
0.103479285,7853.108145251742,-4508.44507615743,4508.44507615743
0.106171041,7771.308617114839,-4751.0770682715,4751.0770682715
0.108932817,7637.114813378796,-4637.963295517095,4637.963295517095
0.111766434,7700.338087019195,-4804.233614406059,4804.233614406059
0.11467376,7493.03821748419,-4709.491001206683,4709.491001206683
0.117656713,7272.89488037651,-4793.769546732278,4793.769546732278
0.120717261,7121.507258944228,-4807.135003836393,4807.135003836393
0.12385742,7037.8725009306745,-4911.5142072142025,4911.5142072142025
0.127079264,7062.9883096868325,-4930.875065971706,4930.875065971706
0.130384915,6777.136360256583,-4871.660308926003,4871.660308926003
0.133776555,6590.819305061369,-4943.132875620387,4943.132875620387
0.13725642,6597.795361022904,-5020.715918382246,5020.715918382246
0.140826805,6359.636323182896,-4949.059405025752,4949.059405025752
0.144490064,6315.571937071499,-5063.347757094422,5063.347757094422
0.148248614,6188.176415845269,-4961.211666635484,4961.211666635484
0.152104934,6076.127987266863,-4860.935738244087,4860.935738244087
0.156061566,5859.173784601377,-5011.285671522776,5011.285671522776
0.16012112,5760.245906497689,-5044.490205364814,5044.490205364814
0.164286273,5657.671266746868,-5012.530522356989,5012.530522356989
0.168559773,5577.403771249935,-4853.492555447969,4853.492555447969
0.172944437,5527.030694297098,-4876.16292319494,4876.16292319494
0.177443157,5263.960404783064,-4893.2862249738055,4893.2862249738055
0.1820589,5155.01585399648,-4839.18925518985,4839.18925518985
0.18679471,5120.0517821022095,-4826.58017237449,4826.58017237449
0.19165371,4845.18972574633,-4843.498730591529,4843.498730591529
0.196639106,4839.706344252468,-4814.431811919328,4814.431811919328
0.201754184,4691.7301688899,-4839.799429239021,4839.799429239021
0.207002318,4526.076582994953,-4766.156473163561,4766.156473163561
0.212386969,4495.333201148572,-4681.143886493772,4681.143886493772
0.217911689,4387.3606798932915,-4672.0645885802,4672.0645885802
0.22358012,4248.534371671445,-4581.579618725816,4581.579618725816
0.229396002,4112.456011462315,-4527.460984861879,4527.460984861879
0.235363169,4025.6577442474163,-4521.475858926767,4521.475858926767
0.241485557,3873.371468658906,-4477.855358143815,4477.855358143815
0.247767204,3795.2191223773416,-4446.772856328018,4446.772856328018
0.254212253,3706.0340744651617,-4448.1202512299615,4448.1202512299615
0.260824953,3603.9749690777835,-4298.096151796841,4298.096151796841
0.267609667,3499.489238074603,-4278.5866258767865,4278.5866258767865
0.274570868,3446.953230126166,-4255.114030112949,4255.114030112949
0.281713147,3282.43588772824,-4175.729076314618,4175.729076314618
0.289041215,3236.1952592262114,-4154.083541771742,4154.083541771742
0.296559904,3159.5462523006036,-4055.6944296639185,4055.6944296639185
0.304274173,3094.180150825106,-4025.136195695496,4025.136195695496
0.31218911,3067.951278491545,-3918.3338670930393,3918.3338670930393
0.320309935,2914.585899922293,-3903.1038712113836,3903.1038712113836
0.328642002,2847.6941811990223,-3812.136976807232,3812.136976807232
0.337190808,2728.1232556653404,-3771.525447616096,3771.525447616096
0.345961989,2691.7869972598214,-3699.49290668524,3699.49290668524
0.354961331,2631.0141317317166,-3633.2682635139427,3633.2682635139427
0.364194769,2606.4715811465226,-3586.1839580674787,3586.1839580674787
0.373668391,2502.4160777710085,-3468.4093671627184,3468.4093671627184
0.383388447,2418.723929834005,-3454.295759251887,3454.295759251887
0.393361345,2321.740633779134,-3364.298258053574,3364.298258053574
0.403593663,2303.6124425675544,-3324.3588909919326,3324.3588909919326
0.41409215,2262.7938824839525,-3258.1599626879506,3258.1599626879506
0.424863729,2177.398194740133,-3193.143397255259,3193.143397255259
0.435915504,2114.142423658902,-3140.252769559699,3140.252769559699
0.447254763,2142.491128049475,-3109.1993818084134,3109.1993818084134
0.458888985,2054.53304061032,-3007.320709341266,3007.320709341266
0.470825843,2011.599868404727,-2940.0685331471727,2940.0685331471727
0.483073208,1993.0744417708445,-2897.773831442085,2897.773831442085
0.495639157,1897.3232081068043,-2810.7804312366266,2810.7804312366266
0.508531979,1874.7001506887227,-2781.4510976295837,2781.4510976295837
0.521760176,1831.729177037959,-2750.720289242016,2750.720289242016
0.535332471,1750.9438825566333,-2641.379223446501,2641.379223446501
0.549257816,1763.0533666344807,-2587.448755947773,2587.448755947773
0.563545394,1725.825990241911,-2576.062426316048,2576.062426316048
0.578204628,1679.406453612414,-2486.0768646383376,2486.0768646383376
0.593245185,1622.451816101401,-2409.009801574794,2409.009801574794
0.608676985,1628.6212307177361,-2386.5745743071593,2386.5745743071593
0.624510205,1574.5670036937545,-2306.49901807685,2306.49901807685
0.640755288,1567.6532277349863,-2286.930165977546,2286.930165977546
0.657422945,1526.5722443820598,-2230.3374802555586,2230.3374802555586
0.67452417,1513.9938554840414,-2175.109854960068,2175.109854960068
0.692070242,1470.7600053681197,-2092.679812081759,2092.679812081759
0.71007273,1467.2764170465941,-2051.738827115943,2051.738827115943
0.728543509,1458.708414714321,-2015.1266402888998,2015.1266402888998
0.747494759,1421.5566498414141,-1972.4877898481222,1972.4877898481222
0.766938979,1393.5992678457649,-1947.9951021744998,1947.9951021744998
0.786888992,1386.5002921159446,-1890.947801184325,1890.947801184325
0.807357955,1356.2961944429967,-1845.6982769171298,1845.6982769171298
0.828359367,1352.75498435425,-1820.1584245888089,1820.1584245888089
0.849907079,1336.8266225933037,-1771.4543978815955,1771.4543978815955
0.872015301,1308.5361075178712,-1707.784769305355,1707.784769305355
0.894698613,1301.3678804333965,-1680.7399075797252,1680.7399075797252
0.917971975,1280.8974854793635,-1640.654153739266,1640.654153739266
0.941850737,1280.9685593515676,-1599.482148927018,1599.482148927018
