Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
0.0999991201,8044.145762135801,-4648.596222247536,4648.596222247536
0.102277693,7818.015326585384,-4569.0284414767575,4569.0284414767575
0.104608185,7675.085627162482,-4646.915560512173,4646.915560512173
0.106991779,7604.343273351082,-4650.277308169463,4650.277308169463
0.109429686,7675.210665480217,-4634.734698578897,4634.734698578897
0.111923143,7517.180475388902,-4755.470272629523,4755.470272629523
0.114473415,7395.635527144884,-4771.644331360811,4771.644331360811
0.117081798,7227.621334120961,-4816.76219782112,4816.76219782112
0.119749615,7158.254655584686,-4780.82458130081,4780.82458130081
0.122478221,7046.844683045818,-4846.603585450471,4846.603585450471
0.125269001,6940.306283685262,-4865.975705642037,4865.975705642037
0.128123371,6953.404973615688,-4889.836312110871,4889.836312110871
0.13104278,6767.700633918426,-4955.203670029968,4955.203670029968
0.134028712,6626.962388008197,-4894.571610052651,4894.571610052651
0.13708268,6527.449760864831,-4881.379704242052,4881.379704242052
0.140206236,6527.119112589306,-4941.258287364444,4941.258287364444
0.143400965,6236.146837177341,-4939.16575119044,4939.16575119044
0.146668489,6182.651593064645,-4854.094207709523,4854.094207709523
0.150010466,6114.961286085898,-4947.734959048854,4947.734959048854
0.153428593,5931.413187793383,-5012.965146243532,5012.965146243532
0.156924606,5897.418049575805,-4993.769902114193,4993.769902114193
0.160500278,5859.5662843345735,-4860.215630722563,4860.215630722563
0.164157426,5627.835911286885,-4984.694848974193,4984.694848974193
0.167897905,5560.845489491755,-4946.00821569626,4946.00821569626
0.171723614,5476.729367845666,-4926.252182367261,4926.252182367261
0.175636496,5366.2525906616565,-4897.657992487302,4897.657992487302
0.179638536,5258.25914945473,-4924.897129573759,4924.897129573759
0.183731766,5072.6367472269685,-4905.608203590167,4905.608203590167
0.187918265,5028.041054633557,-4813.470360136999,4813.470360136999
0.192200157,4950.208083249907,-4882.079493836176,4882.079493836176
0.196579615,4909.669322873501,-4756.637583754498,4756.637583754498
0.201058864,4688.085537606451,-4791.495830896007,4791.495830896007
0.205640176,4609.7497116764625,-4809.522390686278,4809.522390686278
0.210325878,4465.132813173715,-4692.4579054683,4692.4579054683
0.215118348,4424.61163187782,-4685.771276530566,4685.771276530566
0.220020019,4290.287822065059,-4670.067969233592,4670.067969233592
0.225033379,4220.007627025551,-4656.469216342321,4656.469216342321
0.230160973,4106.644712955591,-4572.754108890592,4572.754108890592
0.235405404,3972.1527253325708,-4535.596232166305,4535.596232166305
0.240769334,3939.077446686386,-4470.050482458509,4470.050482458509
0.246255486,3828.230942379564,-4447.430823311534,4447.430823311534
0.251866646,3747.401980138348,-4394.007053524081,4394.007053524081
0.25760566,3647.332726893407,-4303.984061429606,4303.984061429606
0.263475444,3535.5104837366716,-4386.303649430843,4386.303649430843
0.269478976,3471.8308700939806,-4281.8503278459275,4281.8503278459275
0.275619304,3407.5460167084148,-4187.605778811964,4187.605778811964
0.281899545,3281.2042897609067,-4157.111471003237,4157.111471003237
0.288322888,3244.7606138761453,-4126.318238442852,4126.318238442852
0.294892592,3175.2146806256205,-4114.1806979259145,4114.1806979259145
0.301611992,3159.583146793279,-4058.5171289204122,4058.5171289204122
0.308484501,3050.463246450697,-3963.5394241327353,3963.5394241327353
0.315513606,2966.1791944159895,-3906.6639827719296,3906.6639827719296
0.322702876,2851.6444704154605,-3870.8459802806065,3870.8459802806065
0.33005596,2839.7126849801184,-3805.052429111497,3805.052429111497
0.337576591,2742.996812045197,-3740.8387017495697,3740.8387017495697
0.345268586,2695.926134494245,-3675.5684257531584,3675.5684257531584
0.35313585,2681.921172534329,-3682.555120278167,3682.555120278167
0.361182378,2638.155743451983,-3558.114572712319,3558.114572712319
0.369412253,2528.661968618404,-3526.1433629121843,3526.1433629121843
0.377829653,2456.6795499324003,-3437.0270225769245,3437.0270225769245
0.386438852,2403.4892074757163,-3401.3623606344277,3401.3623606344277
0.395244219,2335.203416748816,-3337.4950451829786,3337.4950451829786
0.404250225,2255.454787268049,-3343.5974686419218,3343.5974686419218
0.41346144,2277.5365244813406,-3269.147497836558,3269.147497836558
0.422882542,2190.963573663264,-3220.276741752805,3220.276741752805
0.432518313,2178.203829062018,-3155.129370437609,3155.129370437609
0.442373643,2115.458468346581,-3085.0423654330284,3085.0423654330284
0.452453536,2052.223193573191,-3057.7178807268497,3057.7178807268497
0.462763109,2032.0084059608544,-2961.127727250537,2961.127727250537
