Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
2.50736144,2000343.6424760902,-3413460.46495591,3413460.46495591
2.54148637,1411381.3643077523,-3102875.8729898855,3102875.8729898855
2.57607574,2022147.7489546991,-3676752.8947466356,3676752.8947466356
2.61113587,2134150.4986929754,-3431058.3381343246,3431058.3381343246
2.64667316,1327967.1626259615,-3598065.311102192,3598065.311102192
2.68269411,2045195.8512082023,-2436246.7011279115,2436246.7011279115
2.7192053,2383659.602508254,-3692343.70829805,3692343.70829805
2.75621341,2568639.143064647,-2076408.2464366034,2076408.2464366034
2.79372519,1563015.0098256557,-1843044.0377942699,1843044.0377942699
2.8317475,1358742.3647558978,-3210495.4412659504,3210495.4412659504
2.87028729,1113616.299176393,-2384896.8637980646,2384896.8637980646
2.90935161,1673297.2576604146,-3362432.1971752597,3362432.1971752597
2.94894759,2015048.7338870459,-3702161.757959309,3702161.757959309
2.98908246,1501805.3016508932,-3049652.5031476226,3049652.5031476226
3.02976357,483052.5469503008,-3192152.021883961,3192152.021883961
3.07099834,1764332.450628827,-2353889.21430503,2353889.21430503
3.11279431,1810148.63249019,-2287527.643149663,2287527.643149663
3.15515912,1120854.2480952495,-3697981.5483901165,3697981.5483901165
3.19810051,1083725.4641658736,-4370625.391580853,4370625.391580853
3.24162633,1178901.5916224709,-2697372.46353505,2697372.46353505
3.28574453,2323531.325402902,-3947881.5312513015,3947881.5312513015
3.33046318,884834.6853684096,-1874676.0763144637,1874676.0763144637
3.37579044,1432852.4659818509,-2674611.969192807,2674611.969192807
3.4217346,2231252.310461496,-3363141.7294823523,3363141.7294823523
3.46830406,1667444.6320060987,-3321118.6991192456,3321118.6991192456
3.51550732,566638.3115225829,-2434405.6570198755,2434405.6570198755
3.56335302,1129943.364856654,-2841298.6508113528,2841298.6508113528
3.61184988,1018809.351560032,-2038334.7175041335,2038334.7175041335
3.66100679,1030823.5939194604,-2220313.4337416748,2220313.4337416748
3.71083272,798716.2693240107,-2956685.8164678263,2956685.8164678263
3.76133677,1370080.3779649723,-3040190.320090332,3040190.320090332
3.81252818,1291675.9509187837,-2104029.992709169,2104029.992709169
3.86441629,1641759.091743581,-2691217.2230216702,2691217.2230216702
3.9170106,244555.18199217969,-2589535.5463923905,2589535.5463923905
3.97032071,1486354.4020590647,-1638300.8979729607,1638300.8979729607
4.02435637,665727.5906323169,-2306618.4390087184,2306618.4390087184
4.07912745,427831.6387617925,-2154785.6091870493,2154785.6091870493
4.13464396,635384.6782909215,-2733861.09860211,2733861.09860211
4.19091604,1286140.497489601,-1945727.7310005315,1945727.7310005315
4.24795397,627405.1200917338,-2264037.5767972735,2264037.5767972735
4.30576819,1567205.7496360738,-2206903.775225378,2206903.775225378
4.36436925,1576072.6412223557,-2262190.8152461993,2262190.8152461993
4.42376787,1039227.4682125988,-1454632.7523217644,1454632.7523217644
4.4839749,930591.4401499192,-2103169.3921334324,2103169.3921334324
4.54500133,840249.3308940197,-1922888.7991661574,1922888.7991661574
4.60685834,1120037.9103614197,-1696435.2894675338,1696435.2894675338
4.66955721,1245932.1106159233,-2739141.0877170516,2739141.0877170516
4.7331094,1282415.0027075633,-2538970.411921805,2538970.411921805
4.79752653,866534.8890622298,-2458193.9948744015,2458193.9948744015
4.86282038,876950.332687651,-1837574.0616003135,1837574.0616003135
4.92900286,1043486.2899355955,-1748659.8805580912,1748659.8805580912
4.99608609,471675.83661005506,-2580866.954668161,2580866.954668161
5.0640823,551871.7630448714,-2262839.095796527,2262839.095796527
5.13300394,1125039.3394347471,-2325287.4889162895,2325287.4889162895
5.2028636,855590.9329847437,-2020644.7663928866,2020644.7663928866
5.27367404,267439.76348192274,-1954895.3373325064,1954895.3373325064
5.3454482,981254.4665056168,-1832565.4740460892,1832565.4740460892
5.4181992,568851.7493269126,-1877257.847559997,1877257.847559997
5.49194034,1193706.7155514017,-1907958.0584374238,1907958.0584374238
5.56668508,702491.4297624154,-1945277.3853439863,1945277.3853439863
5.6424471,484377.84380470065,-2346602.379293173,2346602.379293173
5.71924022,811484.4905886239,-2013045.1499501509,2013045.1499501509
5.79707849,206468.68109022424,-1714444.0007344831,1714444.0007344831
5.87597614,1108947.8196628673,-1613348.11409854,1613348.11409854
5.95594757,614717.9168154931,-1785574.1690482711,1785574.1690482711
6.0370074,767291.1105913025,-2025230.2673194814,2025230.2673194814
6.11917046,830218.692656349,-1613629.3329374206,1613629.3329374206
6.20245174,840003.7338226043,-2159508.1087625693,2159508.1087625693
6.28686647,489089.6451280132,-1963967.6888190776,1963967.6888190776
6.37243008,519982.78572745936,-2064646.9344687553,2064646.9344687553
6.4591582,461009.5127423196,-1587322.1705248032,1587322.1705248032
6.54706668,743105.5752306245,-1569357.2436188783,1569357.2436188783
6.63617158,628822.3774259675,-1824887.6136119703,1824887.6136119703
6.72648919,455121.1620413812,-1893677.527352247,1893677.527352247
6.81803602,552910.030437566,-1662108.8711503218,1662108.8711503218
6.91082879,1063507.5644475303,-1723108.8373718627,1723108.8373718627
7.00488446,534904.1872931544,-1433105.7432971755,1433105.7432971755
7.10022022,476761.80713210476,-1542741.7748007986,1542741.7748007986
7.19685349,520951.81797796796,-1671556.126120579,1671556.126120579
7.29480193,549138.1202897537,-1735305.104590386,1735305.104590386
7.39408343,515337.9307151234,-1508442.7475763077,1508442.7475763077
7.49471615,393316.8844914073,-1580916.2581227617,1580916.2581227617
7.59671847,424494.4953262361,-1604379.3587477652,1604379.3587477652
7.70010902,440271.338394052,-1531272.2191746559,1531272.2191746559
7.80490672,424311.4426552006,-1535010.1526926775,1535010.1526926775
7.9111307,119387.98298239562,-2096025.8686225128,2096025.8686225128
8.01880037,572575.694256046,-1439477.318736591,1439477.318736591
8.12793542,328098.407860346,-1411816.349246777,1411816.349246777
8.23855579,625169.6517382558,-1431705.9665264543,1431705.9665264543
8.35068169,502301.5836482087,-1366393.0694820238,1366393.0694820238
8.46433361,596225.0878850643,-1442832.3536989214,1442832.3536989214
8.57953232,436878.2747048013,-1297408.4218424477,1297408.4218424477
8.69629888,294850.67018863,-1325605.1584390905,1325605.1584390905
8.81465461,280867.38526199484,-1368157.978840615,1368157.978840615
8.93462115,494984.42522059707,-1176716.4713301004,1176716.4713301004
9.05622043,395556.8627452116,-1161209.83768554,1161209.83768554
9.17947466,463540.73657165316,-1375080.7137947807,1375080.7137947807
9.30440637,491425.6108508209,-1384823.5664194804,1384823.5664194804
9.43103839,303863.496501981,-1282134.1456318093,1282134.1456318093
9.55939385,432371.9375193772,-1145145.7192289543,1145145.7192289543
9.68949622,481351.5353789254,-1343106.892311305,1343106.892311305
9.82136927,501261.7425541305,-1345479.748046857,1345479.748046857
9.95503709,374061.19817307574,-1376678.9663491743,1376678.9663491743
10.0905241,386016.09541277576,-1170081.2983889144,1170081.2983889144
10.2278551,443075.6538324497,-1114815.6246650603,1114815.6246650603
10.3670552,60826.27877453412,-1203638.7252628088,1203638.7252628088
10.5081497,380028.5290050948,-1228129.084050595,1228129.084050595
10.6511646,317337.9639361258,-1050080.4196953482,1050080.4196953482
10.7961258,452336.9030640095,-1291599.167367341,1291599.167367341
10.94306,444294.83861942356,-1084003.2552458975,1084003.2552458975
11.0919939,266773.73837645585,-1102542.0742730505,1102542.0742730505
11.2429548,314436.50503242196,-1198816.3965712273,1198816.3965712273
11.3959703,370357.3492075289,-1051218.186287559,1051218.186287559
11.5510683,369734.2282150475,-1071719.767677091,1071719.767677091
11.7082771,364082.2908749907,-1177833.4085938032,1177833.4085938032
11.8676256,345502.8460434667,-1016244.9720425043,1016244.9720425043
12.0291427,321712.1456849533,-1027527.3286197496,1027527.3286197496
12.1928581,338913.8405117354,-1086657.3085506784,1086657.3085506784
12.3588017,234714.21292835363,-951997.9636077163,951997.9636077163
12.5270037,217535.91361052546,-930903.2761991919,930903.2761991919
12.6974949,268150.9785162555,-922200.6692737868,922200.6692737868
12.8703065,344599.063179806,-933976.2332647605,933976.2332647605
13.0454701,291991.14204022696,-926246.6935746548,926246.6935746548
13.2230176,225980.18122161418,-963547.0632531373,963547.0632531373
13.4029815,210869.94588532316,-1051194.6105941355,1051194.6105941355
13.5853947,212283.56804900052,-924579.6869964412,924579.6869964412
13.7702905,272964.2787542803,-954390.9101530537,954390.9101530537
13.9577028,174383.34959445804,-961095.1345554698,961095.1345554698
14.1476657,344289.2531142674,-1015874.1792452384,1015874.1792452384
14.340214,287161.8109027256,-854616.0603002771,854616.0603002771
14.5353828,289392.5540644638,-866762.9163064476,866762.9163064476
14.7332079,307918.9026468278,-974754.7137772724,974754.7137772724
14.9337253,314459.8056514108,-805675.045275085,805675.045275085
15.1369718,268126.9450105141,-890212.6531259452,890212.6531259452
15.3429844,250038.75417909672,-839969.7627883182,839969.7627883182
15.5518009,329634.0494916007,-851257.153890694,851257.153890694
15.7634593,228363.48740483305,-1034094.7646551391,1034094.7646551391
15.9779983,177400.12951979795,-773514.9267957769,773514.9267957769
16.1954573,225945.02624779326,-866920.068972054,866920.068972054
16.4158758,254065.16255276138,-861684.438810928,861684.438810928
16.6392942,256252.70780999513,-766658.9524616824,766658.9524616824
16.8657532,237427.13598206625,-822262.420255476,822262.420255476
