Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
2.5864157,13862.323647851521,-256624.01675595721,256624.01675595721
2.68269529,-251081.51346396471,2595236.593866965,-2595236.593866965
2.7825589,1503477.5991026368,4942324.3646517815,-4942324.3646517815
2.88613994,1926601.4758397816,-1595523.2329353201,1595523.2329353201
2.99357679,2998435.301330582,524928.6796051648,-524928.6796051648
3.10501299,70576.65891579598,-1649501.947299492,1649501.947299492
3.22059742,-3259487.4935030085,-1910036.5392699712,1910036.5392699712
3.34048449,309170.1509025533,992021.2233075347,-992021.2233075347
3.46483436,-1392989.294748799,2162325.005699937,-2162325.005699937
3.59381317,233452.9630460382,-1337625.164916077,1337625.164916077
3.72759324,1051292.795410082,328045.1969066884,-328045.1969066884
3.86635327,-1510078.1362227509,-697114.502359208,697114.502359208
4.01027867,2223053.3797353017,-652594.1166625519,652594.1166625519
4.1595617,-1502757.4306973664,-1313250.0079958206,1313250.0079958206
4.31440181,-884977.6904747046,-5451958.314733084,5451958.314733084
4.47500586,298628.4242086525,-351757.01250665565,351757.01250665565
4.64158841,551897.9835960903,4526850.504129722,-4526850.504129722
4.81437201,6488084.934792804,-736929.8263217284,736929.8263217284
4.9935875,-212533.89138297105,638045.1832022564,-638045.1832022564
5.17947431,-1558252.4638545632,-1119058.2847247564,1119058.2847247564
5.37228077,-1208261.3455428723,836265.4853440975,-836265.4853440975
5.57226447,-185751.48392395893,1042592.0826895399,-1042592.0826895399
5.77969258,-6920213.943303721,2814088.4882046846,-2814088.4882046846
5.99484223,-938607.3380827423,-4044935.963437944,4044935.963437944
6.21800084,556564.0634573515,-506434.3316819018,506434.3316819018
6.44946655,1227389.3092031255,-230364.89854321923,230364.89854321923
6.68954861,-721886.3707234974,1077933.9606234317,-1077933.9606234317
6.93856774,-15235.125911540845,758948.8634604341,-758948.8634604341
7.19685663,-990256.3882892688,172649.3150305155,-172649.3150305155
7.46476035,1264201.9058066825,-208607.25138851805,208607.25138851805
7.74263682,-10337647.636190586,251292.6675041608,-251292.6675041608
8.03085726,871042.3185454778,-335932.6084792844,335932.6084792844
8.32980674,675776.6399681059,-53303.452450963385,53303.452450963385
8.63988465,-1257115.888776864,453581.20598871756,-453581.20598871756
8.96150524,-282826.1948600505,888352.340773547,-888352.340773547
9.29509818,1481666.247154697,-741639.768530469,741639.768530469
9.64110916,2936776.7247798494,1393228.0605918881,-1393228.0605918881
10.0000004,577015.7172610522,557606.9807087918,-557606.9807087918
