Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
0.999999639,-487699.0690384071,-667406.6597122549,667406.6597122549
1.02139912,1654640.1842612626,-1099756.626361357,1099756.626361357
1.04325654,1966113.8619636446,3349820.2749243136,-3349820.2749243136
1.0655817,284831.05353022023,-932222.2887811839,932222.2887811839
1.0883846,-104348.58856500952,-487614.5785303016,487614.5785303016
1.11167548,2539035.001285178,2279746.118369969,-2279746.118369969
1.13546477,-436762.8923465458,1941229.0805442666,-1941229.0805442666
1.15976313,-276526.598393348,-249160.5047708731,249160.5047708731
1.18458147,4761043.478267645,-2857331.70992425,2857331.70992425
1.20993091,-1085660.9286330803,-2006213.737213745,2006213.737213745
1.23582281,-554670.5691053096,-613650.7414925391,613650.7414925391
1.26226879,-4034764.4913668805,-2172496.8439169736,2172496.8439169736
1.2892807,2161342.0971999015,4373143.417318428,-4373143.417318428
1.31687065,-176642.56245344304,-1217235.3072938723,1217235.3072938723
1.34505101,-738831.7875168409,314940.3483828349,-314940.3483828349
1.37383441,216696.76388167153,-1293264.814589778,1293264.814589778
1.40323377,-1124113.631487668,1079192.0406223186,-1079192.0406223186
1.43326225,3462359.309243377,-1015745.3983834388,1015745.3983834388
1.46393333,462476.5896697167,20111.29333171331,-20111.29333171331
1.49526076,116155.81636973978,-585556.9086704685,585556.9086704685
1.52725858,-1066684.534389585,351327.0263040006,-351327.0263040006
1.55994113,1626917.5673442942,561463.413874215,-561463.413874215
1.59332308,1974682.200057459,776255.9446474743,-776255.9446474743
1.62741938,11227309.39516283,11266568.65838403,-11266568.65838403
1.66224532,728934.0784402919,-5492353.092357144,5492353.092357144
1.69781652,-1788032.1741758182,-1462445.404988654,1462445.404988654
1.73414893,-2114768.2864403524,674501.984268593,-674501.984268593
1.77125883,-602988.049106177,876369.677432982,-876369.677432982
1.80916287,-731759.5845605881,-60547.34406644615,60547.34406644615
1.84787803,1434129.0632612954,-3457172.7855944815,3457172.7855944815
1.88742167,-15588449.025657061,3699319.8214371703,-3699319.8214371703
1.92781154,2651971.8050252814,3143745.544430606,-3143745.544430606
1.96906572,-796779.1511649508,7790047.493811388,-7790047.493811388
2.01120272,-1689088.326590968,3362763.5637293835,-3362763.5637293835
2.05424143,-134367.21710564088,571083.9161066564,-571083.9161066564
2.09820115,-1913613.3457781733,276778.7447708965,-276778.7447708965
2.14310158,-3248088.831478191,-1519442.6179262681,1519442.6179262681
2.18896286,1979085.600538293,295423.2032990066,-295423.2032990066
2.23580555,-4565505.768756586,-1392330.6855596993,1392330.6855596993
2.28365065,1533469.3215879223,-2247139.374309234,2247139.374309234
2.33251961,434918.50913767936,8958.36335251753,-8958.36335251753
2.38243434,-963734.6139506593,1140022.255547529,-1140022.255547529
2.43341722,265121.87830031203,10092.274879833054,-10092.274879833054
2.4854911,1279157.0492991158,1556163.4615764704,-1556163.4615764704
2.53867934,2957219.124198343,1071082.181716142,-1071082.181716142
2.59300578,-1429388.181115923,152252.8989891313,-152252.8989891313
2.64849479,1740559.4240823064,412413.213363268,-412413.213363268
2.70517122,-1101194.6877108354,-2495562.84666939,2495562.84666939
2.76306051,-1107005.4690830845,498204.8458785089,-498204.8458785089
2.82218859,1092314.3244300866,655291.2002723532,-655291.2002723532
2.88258199,328501.12282125343,1630652.8317568665,-1630652.8317568665
2.94426777,-2342081.0524266595,2214021.7632377143,-2214021.7632377143
3.0072736,930366.9214053671,-763668.2821090979,763668.2821090979
3.07162772,687470.4979107784,2502668.9906441346,-2502668.9906441346
3.13735898,-1285413.5527189148,-777860.983407694,777860.983407694
3.20449686,2144872.3909692084,378198.87270454713,-378198.87270454713
3.27307146,39523033.79300179,67392326.38351752,-67392326.38351752
3.34311352,1045696.6264791038,-2253790.4703536797,2253790.4703536797
3.41465444,3829204.5132603487,-3622364.8860450396,3622364.8860450396
3.4877263,398815.53122152266,1507325.5679042262,-1507325.5679042262
3.56236187,204342.30923937823,-805778.5986607352,805778.5986607352
3.63859459,775362.0899797828,-692280.2913512794,692280.2913512794
