Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
2.55283038,868098.9157100767,-2624888.630362562,2624888.630362562
2.6227912,952891.0104241736,-1996880.5473518788,1996880.5473518788
2.69466931,634376.7853377641,-1934017.4866922414,1934017.4866922414
2.76851726,1139982.7763634133,-2313692.034738456,2313692.034738456
2.84438902,818748.1497691297,-1958240.39804332,1958240.39804332
2.92234006,831232.055645888,-1908968.8456184925,1908968.8456184925
3.00242737,1610043.7375779075,-2190206.162312329,2190206.162312329
3.08470949,918104.9112309979,-1612878.0691412084,1612878.0691412084
3.16924656,692374.4560916899,-2005115.4458716933,2005115.4458716933
3.25610039,373183.3989736406,-2047401.2772392435,2047401.2772392435
3.34533446,993852.5375542715,-1506112.2536668575,1506112.2536668575
3.43701401,785947.8632222792,-2023151.9494343565,2023151.9494343565
3.53120606,365402.9067945688,-1707359.8302335748,1707359.8302335748
3.62797946,773737.3326283629,-1650252.5214989518,1650252.5214989518
3.72740496,365655.18950136047,-1546830.3050181747,1546830.3050181747
3.82955523,612025.4751550058,-1451693.7215777936,1451693.7215777936
3.93450495,660365.8076715214,-1419391.6229505376,1419391.6229505376
4.04233083,656184.001842514,-1365278.589975405,1365278.589975405
4.15311171,520872.12351034576,-1538850.399914024,1538850.399914024
4.26692856,544835.6764207443,-1392402.4031278302,1392402.4031278302
4.38386458,203695.25343438593,-1469836.880477823,1469836.880477823
4.50400525,595072.6741517495,-1505284.2662602451,1505284.2662602451
4.62743841,306513.58547472267,-1418880.36356185,1418880.36356185
4.75425427,448958.2988526462,-1117382.3348851143,1117382.3348851143
4.88454555,446334.49069927057,-1325490.7847804413,1325490.7847804413
5.01840749,503649.6224473532,-1254765.8243478662,1254765.8243478662
5.15593794,205880.74864420755,-1203187.5286607652,1203187.5286607652
5.29723743,465853.3082186868,-1275763.039442587,1275763.039442587
5.44240927,387305.1254935307,-1364162.3245279805,1364162.3245279805
5.59155958,365718.2232314182,-1210553.567738384,1210553.567738384
5.74479737,210494.49527967806,-1016439.4713475661,1016439.4713475661
5.90223468,178757.48973082766,-1090413.555565611,1090413.555565611
6.06398659,286474.1944229348,-1089649.9152900137,1089649.9152900137
6.23017134,311954.2467087477,-1066800.3269660752,1066800.3269660752
