Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
4.99999953,1383050.449423407,-2526612.06904811,2526612.06904811
5.07492823,267603.4774731849,-3084764.1202674774,3084764.1202674774
5.15097979,1668080.6103027829,-3380004.32043122,3380004.32043122
5.22817105,1993076.2358247137,-1618920.64332256,1618920.64332256
5.30651907,1992823.397855911,-2279271.8418726656,2279271.8418726656
5.3860412,1159305.9449304342,-3083466.429584852,3083466.429584852
5.46675502,1110643.3299028473,-2664478.3504628963,2664478.3504628963
5.5486784,1301266.5550887901,-2667046.613163705,2667046.613163705
5.63182947,1154998.6490866428,-3630022.992836591,3630022.992836591
5.71622661,1612225.6445576153,-3581177.799066495,3581177.799066495
5.80188851,2388620.907865175,-4559121.696519198,4559121.696519198
5.88883411,1206904.1886506118,-3332218.767783163,3332218.767783163
5.97708266,1133244.3401073536,-1838824.8066426674,1838824.8066426674
6.06665368,486919.55231789453,-1878584.5859881334,1878584.5859881334
6.15756699,1599153.4162221826,-2636049.3713031514,2636049.3713031514
6.2498427,1119381.9182716853,-3094958.536861557,3094958.536861557
6.34350123,1776028.1459384153,-2200505.6465476523,2200505.6465476523
6.4385633,1323684.5290777988,-2255083.403517042,2255083.403517042
6.53504995,1881765.5492259373,-4564148.768476509,4564148.768476509
6.63298252,1095077.3650041695,-2549352.3067535954,2549352.3067535954
6.73238269,596053.1371582996,-2580556.8472489538,2580556.8472489538
6.83327244,1385063.2479422837,-2251388.177283258,2251388.177283258
6.93567409,1252033.2714304987,-2904258.173344665,2904258.173344665
7.03961032,1376574.2894297468,-2474231.9736754224,2474231.9736754224
7.1451041,1319367.7431695373,-2319395.7743937853,2319395.7743937853
7.25217879,506752.8242948164,-2582225.0518294456,2582225.0518294456
7.36085807,1299589.3790276786,-2469171.784043875,2469171.784043875
7.47116599,819081.9454689797,-1803563.9057309162,1803563.9057309162
7.58312696,901716.8531205624,-2915498.186149595,2915498.186149595
7.69676574,589101.4232356545,-2457941.3554923837,2457941.3554923837
7.81210749,1354643.9077375107,-1923464.3895329214,1923464.3895329214
7.92917771,862351.7345836787,-2171737.0889228866,2171737.0889228866
